Estado,LAT_DECIMAL,LON_DECIMAL
Aguascalientes,21.879823,-102.296047
Baja California,32.641176,-115.475579
Baja California Sur,24.148745,-110.30659
Campeche,19.844814,-90.539649
Chiapas,16.753972,-93.115192
Chihuahua,28.636794,-106.076307
Ciudad de Mexico,19.441647,-99.151884
Coahuila,25.421665,-100.999721
Colima,19.242922,-103.728119
Durango,24.023988,-104.670194
Guanajuato,21.016098,-101.253621
Guerrero,17.551649,-99.501063
Hidalgo,20.12236,-98.737001
Jalisco,20.676389,-103.342222
Michoacan,19.703384,-101.192046
Morelos,18.921783,-99.234897
Mexico,19.293488,-99.657317
Nayarit,21.507413,-104.893799
Nuevo Leon,25.664697,-100.310892
Oaxaca,17.059993,-96.72545
Puebla,19.04399,-98.197495
Queretaro,20.593391,-100.389957
Quintana Roo,18.493889,-88.297899
San Luis Potosi,22.151655,-100.976958
Sinaloa,24.808808,-107.393756
Sonora,29.074892,-110.958464
Tabasco,17.987838,-92.919416
Tamaulipas,23.731053,-99.15125
Tlaxcala,19.316553,-98.23764
Veracruz,19.527085,-96.922645
Yucatan,20.967537,-89.624392
Zacatecas,22.776096,-102.571836
